"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.808913550E-1,-1.698904037E-1,5.264209956E-2,9.796515465E0,9.798129882E0
1.832794800E-1,-1.555334777E-1,7.417750359E-2,9.801301003E0,9.802815632E0
1.856675530E-1,-1.866401732E-1,4.546362907E-2,9.806086540E0,9.807967921E0
1.880556260E-1,-1.722832322E-1,4.546362907E-2,9.815657616E0,9.817274718E0
1.904437510E-1,-1.746760458E-1,4.546362907E-2,9.798908234E0,9.800570455E0
1.928318240E-1,-1.842473447E-1,5.742774159E-2,9.791728973E0,9.793630650E0
1.952199490E-1,-1.866401732E-1,4.546362907E-2,9.784550667E0,9.786436187E0
1.976080220E-1,-1.794617027E-1,4.307080805E-2,9.803693771E0,9.805430799E0
1.999961470E-1,-1.746760458E-1,4.785645381E-2,9.813264847E0,9.814936012E0
2.023842200E-1,-1.842473447E-1,5.503492057E-2,9.810872078E0,9.812756333E0
2.047722930E-1,-1.746760458E-1,3.828516230E-2,9.796515465E0,9.798147413E0
2.071604180E-1,-1.794617027E-1,5.982056633E-2,9.791728973E0,9.793556111E0
2.095484910E-1,-1.722832322E-1,5.024927482E-2,9.813264847E0,9.814905677E0
2.119366160E-1,-1.842473447E-1,4.067798331E-2,9.810872078E0,9.812686315E0
2.143246890E-1,-1.818545163E-1,4.067798331E-2,9.808479309E0,9.810249340E0
2.167128140E-1,-1.746760458E-1,3.589234129E-2,9.801301003E0,9.802923101E0
2.191008870E-1,-1.651047617E-1,1.914258115E-2,9.801301003E0,9.802710205E0
2.214889600E-1,-1.674975902E-1,3.589234129E-2,9.808479309E0,9.809975028E0
2.238770850E-1,-1.746760458E-1,3.349951655E-2,9.803693771E0,9.805307007E0
2.262651570E-1,-1.890329868E-1,3.110669367E-2,9.808479309E0,9.810350017E0
2.286532820E-1,-1.794617027E-1,2.871387079E-2,9.796515465E0,9.798201174E0
2.310413550E-1,-1.746760458E-1,2.632104978E-2,9.794121742E0,9.795714636E0
2.334294800E-1,-1.698904037E-1,4.067798331E-2,9.815657616E0,9.817212022E0
2.358175530E-1,-1.698904037E-1,3.349951655E-2,9.806086540E0,9.807615317E0
2.382056260E-1,-1.674975902E-1,2.632104978E-2,9.798908234E0,9.800375034E0
2.405937510E-1,-1.627119333E-1,2.871387079E-2,9.798908234E0,9.800301130E0
2.429818240E-1,-1.794617027E-1,1.914258115E-2,9.803693771E0,9.805354889E0
2.453699490E-1,-1.627119333E-1,2.632104978E-2,9.798908234E0,9.800294411E0
2.477580220E-1,-1.507478207E-1,3.110669367E-2,9.806086540E0,9.807294518E0
2.501461470E-1,-1.651047617E-1,4.067798331E-2,9.810872078E0,9.812345551E0
2.525342200E-1,-1.579262912E-1,4.785645381E-2,9.786943436E0,9.788334525E0
2.549222930E-1,-1.603191197E-1,4.546362907E-2,9.796515465E0,9.797932660E0
2.573104180E-1,-1.603191197E-1,5.982056633E-2,9.810872078E0,9.812364223E0
2.596984910E-1,-1.746760458E-1,5.742774159E-2,9.815657616E0,9.817379696E0
2.620866160E-1,-1.770688742E-1,5.264209956E-2,9.813264847E0,9.815003389E0
2.644746890E-1,-1.698904037E-1,4.067798331E-2,9.806086540E0,9.807642463E0
2.668628140E-1,-1.746760458E-1,4.307080805E-2,9.810872078E0,9.812521477E0
2.692508870E-1,-1.866401732E-1,3.828516230E-2,9.810872078E0,9.812721908E0
2.716389600E-1,-1.770688742E-1,2.632104978E-2,9.813264847E0,9.814897510E0
2.740270850E-1,-1.674975902E-1,5.024927482E-2,9.803693771E0,9.805253286E0
2.764151570E-1,-1.674975902E-1,3.589234129E-2,9.796515465E0,9.798013011E0
2.788032820E-1,-1.698904037E-1,3.589234129E-2,9.796515465E0,9.798054208E0
2.811913550E-1,-1.722832322E-1,4.546362907E-2,9.810872078E0,9.812489969E0
2.835794280E-1,-1.794617027E-1,5.264209956E-2,9.825528145E0,9.827307923E0
2.859675530E-1,-1.698904037E-1,4.546362907E-2,9.820742607E0,9.822317193E0
2.883556260E-1,-1.603191197E-1,3.828516230E-2,9.808479309E0,9.809864134E0
2.907437510E-1,-1.627119333E-1,5.264209956E-2,9.803693771E0,9.805185257E0
2.931318240E-1,-1.866401732E-1,4.067798331E-2,9.810872078E0,9.812731535E0
2.955199490E-1,-1.794617027E-1,5.742774159E-2,9.798908234E0,9.800719719E0
2.979080220E-1,-1.746760458E-1,4.307080805E-2,9.782157898E0,9.783812138E0
3.002960950E-1,-1.770688742E-1,3.349951655E-2,9.784550667E0,9.786210061E0
3.026842200E-1,-1.746760458E-1,4.067798331E-2,9.784550667E0,9.786194264E0
3.050722930E-1,-1.818545163E-1,3.828516230E-2,9.779765129E0,9.781530698E0
3.074604180E-1,-1.842473447E-1,3.110669367E-2,9.789336205E0,9.791119345E0
3.098484910E-1,-1.914258152E-1,4.067798331E-2,9.784550667E0,9.786507564E0
3.122366160E-1,-1.674975902E-1,5.024927482E-2,9.801301003E0,9.802860897E0
3.146246890E-1,-1.818545163E-1,6.221338734E-2,9.794121742E0,9.796007466E0
3.170127620E-1,-1.866401732E-1,5.503492057E-2,9.794121742E0,9.796054517E0
3.194008870E-1,-1.866401732E-1,3.828516230E-2,9.803693771E0,9.805544955E0
3.217889600E-1,-1.770688742E-1,4.067798331E-2,9.803693771E0,9.805377078E0
3.241770850E-1,-1.818545163E-1,3.349951655E-2,9.794121742E0,9.795867189E0
3.265651570E-1,-1.890329868E-1,4.307080805E-2,9.791728973E0,9.793648189E0
3.289532820E-1,-1.866401732E-1,4.546362907E-2,9.798908234E0,9.800790992E0
3.313413550E-1,-1.818545163E-1,4.546362907E-2,9.801301003E0,9.803093356E0
3.337294280E-1,-1.818545163E-1,3.828516230E-2,9.796515465E0,9.798278016E0
3.361175530E-1,-1.818545163E-1,2.871387079E-2,9.798908234E0,9.800637639E0
3.385056260E-1,-1.722832322E-1,2.871387079E-2,9.815657616E0,9.817211438E0
3.408937510E-1,-1.770688742E-1,4.067798331E-2,9.808479309E0,9.810161795E0
3.432818240E-1,-1.866401732E-1,3.828516230E-2,9.798908234E0,9.800760321E0
3.456699490E-1,-1.770688742E-1,3.349951655E-2,9.813264847E0,9.814919386E0
3.480580220E-1,-1.746760458E-1,4.307080805E-2,9.818050385E0,9.819698578E0
3.504460950E-1,-1.866401732E-1,2.871387079E-2,9.813264847E0,9.815081558E0
3.528342200E-1,-1.914258152E-1,2.632104978E-2,9.806086540E0,9.807990104E0
3.552222930E-1,-1.938186288E-1,3.349951655E-2,9.808479309E0,9.810451276E0
3.576104180E-1,-1.938186288E-1,3.349951655E-2,9.813264847E0,9.815235852E0
3.599984910E-1,-1.842473447E-1,4.785645381E-2,9.798908234E0,9.800757108E0
3.623866160E-1,-1.698904037E-1,5.024927482E-2,9.810872078E0,9.812471588E0
3.647746890E-1,-1.674975902E-1,4.307080805E-2,9.801301003E0,9.802826729E0
3.671628140E-1,-1.531406492E-1,4.067798331E-2,9.818050385E0,9.819328903E0
3.695508870E-1,-1.603191197E-1,5.024927482E-2,9.813264847E0,9.814702958E0
3.719389600E-1,-1.627119333E-1,5.503492057E-2,9.815657616E0,9.817160406E0
3.743270850E-1,-1.579262912E-1,3.349951655E-2,9.798908234E0,9.800238033E0
3.767151570E-1,-1.531406492E-1,3.110669367E-2,9.791728973E0,9.792975849E0
3.791032820E-1,-1.674975902E-1,5.982056633E-2,9.791728973E0,9.793344180E0
3.814913550E-1,-1.770688742E-1,6.460621208E-2,9.791728973E0,9.793542956E0
3.838794280E-1,-1.555334777E-1,4.546362907E-2,9.806086540E0,9.807425291E0
3.862675530E-1,-1.507478207E-1,4.785645381E-2,9.798908234E0,9.800184576E0
3.886556260E-1,-1.555334777E-1,5.503492057E-2,9.806086540E0,9.807474330E0
3.910437510E-1,-1.531406492E-1,5.264209956E-2,9.815657616E0,9.816993311E0
3.934318240E-1,-1.507478207E-1,4.785645381E-2,9.803693771E0,9.804969490E0
3.958199490E-1,-1.339980662E-1,5.264209956E-2,9.798908234E0,9.799965778E0
3.982080220E-1,-1.435693651E-1,3.589234129E-2,9.801301003E0,9.802418159E0
4.005961470E-1,-1.627119333E-1,3.349951655E-2,9.798908234E0,9.800316319E0
4.029842200E-1,-1.627119333E-1,4.546362907E-2,9.801301003E0,9.802756931E0
4.053722930E-1,-1.579262912E-1,5.264209956E-2,9.796515465E0,9.797929738E0
4.077604180E-1,-1.603191197E-1,6.221338734E-2,9.813264847E0,9.814771504E0
4.101484910E-1,-1.698904037E-1,6.460621208E-2,9.796515465E0,9.798201466E0
4.125366160E-1,-1.603191197E-1,5.024927482E-2,9.801301003E0,9.802740869E0
4.149246890E-1,-1.651047617E-1,6.221338734E-2,9.798908234E0,9.800496552E0
4.173127620E-1,-1.579262912E-1,4.546362907E-2,9.810872078E0,9.812248396E0
4.197008870E-1,-1.627119333E-1,3.349951655E-2,9.803693771E0,9.805101170E0
4.220889600E-1,-1.531406492E-1,4.067798331E-2,9.803693771E0,9.804974162E0
4.244770850E-1,-1.435693651E-1,3.828516230E-2,9.818050385E0,9.819174674E0
4.268651570E-1,-1.531406492E-1,5.024927482E-2,9.808479309E0,9.809803434E0
4.292532820E-1,-1.698904037E-1,6.939185411E-2,9.803693771E0,9.805411238E0
4.316413550E-1,-1.938186288E-1,4.546362907E-2,9.798908234E0,9.800930322E0
4.340294280E-1,-1.698904037E-1,2.871387079E-2,9.798908234E0,9.800422940E0
4.364175530E-1,-1.627119333E-1,4.785645381E-2,9.803693771E0,9.805160732E0
4.388056260E-1,-1.818545163E-1,3.589234129E-2,9.808479309E0,9.810230664E0
4.411937510E-1,-1.746760458E-1,3.349951655E-2,9.813264847E0,9.814876509E0
4.435818240E-1,-1.794617027E-1,4.307080805E-2,9.818050385E0,9.819784873E0
4.459699490E-1,-1.770688742E-1,3.828516230E-2,9.801301003E0,9.802975083E0
4.483580220E-1,-1.890329868E-1,4.785645381E-2,9.806086540E0,9.808025130E0
4.507460950E-1,-1.890329868E-1,3.349951655E-2,9.813264847E0,9.815142518E0
4.531342200E-1,-1.962114573E-1,5.503492057E-2,9.808479309E0,9.810596013E0
4.555222930E-1,-1.986042857E-1,4.307080805E-2,9.827920914E0,9.830021782E0
4.579104180E-1,-1.794617027E-1,2.871387079E-2,9.813264847E0,9.814947679E0
4.602984910E-1,-1.866401732E-1,3.110669367E-2,9.801301003E0,9.803127232E0
4.626866160E-1,-1.890329868E-1,5.024927482E-2,9.810872078E0,9.812821683E0
4.650746890E-1,-1.842473447E-1,5.264209956E-2,9.818050385E0,9.819920144E0
4.674627620E-1,-1.603191197E-1,3.110669367E-2,9.806086540E0,9.807446308E0
4.698508870E-1,-1.627119333E-1,4.546362907E-2,9.801301003E0,9.802756931E0
4.722389600E-1,-1.627119333E-1,4.546362907E-2,9.803693771E0,9.805149345E0
4.746270850E-1,-1.674975902E-1,3.589234129E-2,9.798908234E0,9.800405414E0
4.770151570E-1,-1.746760458E-1,5.264209956E-2,9.801301003E0,9.802998738E0
4.794032820E-1,-1.986042857E-1,4.307080805E-2,9.794121742E0,9.796229859E0
4.817913550E-1,-1.866401732E-1,4.067798331E-2,9.798908234E0,9.800769961E0
4.841794280E-1,-1.890329868E-1,3.589234129E-2,9.798908234E0,9.800797126E0
4.865675530E-1,-1.914258152E-1,4.307080805E-2,9.796515465E0,9.798480198E0
4.889556260E-1,-1.746760458E-1,5.024927482E-2,9.796515465E0,9.798201466E0
4.913437510E-1,-1.794617027E-1,3.349951655E-2,9.801301003E0,9.803001074E0
4.937318240E-1,-1.794617027E-1,4.546362907E-2,9.806086540E0,9.807833944E0
4.961199490E-1,-1.842473447E-1,5.503492057E-2,9.803693771E0,9.805579406E0
4.985080220E-1,-1.770688742E-1,4.785645381E-2,9.801301003E0,9.803017136E0
5.008960950E-1,-1.698904037E-1,4.546362907E-2,9.810872078E0,9.812448248E0
5.032842200E-1,-1.890329868E-1,4.785645381E-2,9.810872078E0,9.812809722E0
5.056722930E-1,-1.746760458E-1,5.503492057E-2,9.801301003E0,9.803011879E0
5.080604180E-1,-1.651047617E-1,6.460621208E-2,9.801301003E0,9.802904411E0
5.104484910E-1,-1.674975902E-1,6.221338734E-2,9.806086540E0,9.807714269E0
5.128366160E-1,-1.531406492E-1,4.546362907E-2,9.784550667E0,9.785854625E0
5.152246890E-1,-1.627119333E-1,5.264209956E-2,9.803693771E0,9.805185257E0
5.176127620E-1,-1.531406492E-1,4.307080805E-2,9.815657616E0,9.816946653E0
5.200008870E-1,-1.651047617E-1,3.828516230E-2,9.803693771E0,9.805158688E0
5.223889600E-1,-1.579262912E-1,5.264209956E-2,9.810872078E0,9.812284282E0
5.247770850E-1,-1.507478207E-1,4.067798331E-2,9.815657616E0,9.816899410E0
5.271651570E-1,-1.555334777E-1,3.828516230E-2,9.803693771E0,9.805002192E0
5.295532820E-1,-1.459621787E-1,5.503492057E-2,9.798908234E0,9.800149814E0
5.319413550E-1,-1.483550072E-1,5.742774159E-2,9.810872078E0,9.812161744E0
5.343294280E-1,-1.531406492E-1,7.417750359E-2,9.808479309E0,9.809955184E0
5.367175530E-1,-1.627119333E-1,6.699903309E-2,9.810872078E0,9.812449999E0
5.391056260E-1,-1.603191197E-1,6.460621208E-2,9.815657616E0,9.817179361E0
5.414937510E-1,-1.674975902E-1,4.785645381E-2,9.815657616E0,9.817203273E0
5.438818240E-1,-1.722832322E-1,3.110669367E-2,9.813264847E0,9.814826340E0
5.462699490E-1,-1.603191197E-1,3.110669367E-2,9.815657616E0,9.817016058E0
5.486580220E-1,-1.674975902E-1,4.067798331E-2,9.810872078E0,9.812386105E0
5.510460950E-1,-1.722832322E-1,4.546362907E-2,9.803693771E0,9.805312846E0
5.534342200E-1,-1.651047617E-1,6.460621208E-2,9.813264847E0,9.814866301E0
5.558222930E-1,-1.555334777E-1,5.264209956E-2,9.796515465E0,9.797891462E0
5.582104180E-1,-1.435693651E-1,4.546362907E-2,9.789336205E0,9.790494494E0
5.605984910E-1,-1.579262912E-1,3.349951655E-2,9.798908234E0,9.800238033E0
5.629866160E-1,-1.531406492E-1,2.153540403E-2,9.806086540E0,9.807305903E0
5.653746890E-1,-1.627119333E-1,3.110669367E-2,9.808479309E0,9.809878142E0
5.677627620E-1,-1.603191197E-1,3.589234129E-2,9.801301003E0,9.802677788E0
5.701508870E-1,-1.698904037E-1,1.674975827E-2,9.796515465E0,9.798002784E0
5.725389600E-1,-1.674975902E-1,4.785645381E-2,9.782157898E0,9.783708848E0
5.749270850E-1,-1.698904037E-1,4.785645381E-2,9.806086540E0,9.807674863E0
5.773151570E-1,-1.674975902E-1,3.110669367E-2,9.818050385E0,9.819528320E0
5.797032820E-1,-1.674975902E-1,9.571290575E-3,9.823135376E0,9.824567963E0
5.820913550E-1,-1.746760458E-1,9.571290575E-3,9.818050385E0,9.819608785E0
5.844794280E-1,-1.818545163E-1,3.110669367E-2,9.813264847E0,9.814999014E0
5.868675530E-1,-1.722832322E-1,4.307080805E-2,9.801301003E0,9.802909667E0
5.892556260E-1,-1.674975902E-1,4.785645381E-2,9.791728973E0,9.793278408E0
5.916437510E-1,-1.555334777E-1,5.264209956E-2,9.818050385E0,9.819423364E0
5.940318240E-1,-1.603191197E-1,4.067798331E-2,9.810872078E0,9.812266193E0
5.964199490E-1,-1.794617027E-1,3.349951655E-2,9.794121742E0,9.795823060E0
5.988080220E-1,-1.794617027E-1,4.307080805E-2,9.796515465E0,9.798253765E0
6.011960950E-1,-1.794617027E-1,3.589234129E-2,9.798908234E0,9.800617191E0
6.035842200E-1,-1.818545163E-1,4.785645381E-2,9.798908234E0,9.800712417E0
6.059722930E-1,-1.794617027E-1,5.503492057E-2,9.806086540E0,9.807882982E0
6.083604180E-1,-1.818545163E-1,5.742774159E-2,9.806086540E0,9.807940775E0
6.107484910E-1,-1.746760458E-1,5.982056633E-2,9.801301003E0,9.803039914E0
6.131366160E-1,-1.842473447E-1,4.546362907E-2,9.798908234E0,9.800745716E0
6.155246890E-1,-1.866401732E-1,3.828516230E-2,9.808479309E0,9.810329590E0
6.179128140E-1,-1.770688742E-1,4.307080805E-2,9.806086540E0,9.807779653E0
6.203008870E-1,-1.746760458E-1,3.828516230E-2,9.813264847E0,9.814894010E0
6.226889600E-1,-1.698904037E-1,6.460621208E-2,9.810872078E0,9.812555612E0
6.250770850E-1,-1.627119333E-1,6.221338734E-2,9.813264847E0,9.814810881E0
6.274651570E-1,-1.603191197E-1,5.503492057E-2,9.806086540E0,9.807551392E0
6.298532820E-1,-1.674975902E-1,4.785645381E-2,9.808479309E0,9.810026098E0
6.322413550E-1,-1.722832322E-1,5.503492057E-2,9.803693771E0,9.805361896E0
6.346294280E-1,-1.818545163E-1,4.546362907E-2,9.803693771E0,9.805485688E0
6.370175530E-1,-1.818545163E-1,5.982056633E-2,9.813264847E0,9.815132017E0
6.394056260E-1,-1.794617027E-1,5.503492057E-2,9.803693771E0,9.805490651E0
6.417937510E-1,-1.698904037E-1,6.699903309E-2,9.806086540E0,9.807786950E0
6.441818240E-1,-1.746760458E-1,6.699903309E-2,9.803693771E0,9.805478681E0
6.465699490E-1,-1.651047617E-1,4.785645381E-2,9.810872078E0,9.812377936E0
